53,053_ChartFormatting.xlsx,ChartFormattingExample
54,054_JsonArrayFluentImport.xlsx,JsonFluentImportPricesExample
55,055_JsonFlatObjectImport.xlsx,JsonFluentImportPricesFlatExample
56,056_JsonMultiColumnArrayImport.xlsx,JsonFluentImportPersonsExample
57,057_JsonArrayWithStyling.xlsx,JsonArrayWithStylingExample
58,058_JsonFlatObjectWithParsers.xlsx,JsonFlatObjectWithParsersExample
59,059_JsonMultiColumnAllFeatures.xlsx,JsonMultiColumnAllFeaturesExample
60,060_JsonNestedObjects.xlsx,JsonNestedObjectsExample
61,061_JsonToWorkbook.xlsx,JsonToWorkbookExample
62,062_JsonToWorkbookLineChart.xlsx,JsonToWorkbookLineChartExample
63,063_JsonToWorkbookBarChart.xlsx,JsonToWorkbookBarChartExample
64,064_JsonToWorkbookMultipleCharts.xlsx,JsonToWorkbookMultipleChartsExample
65,065_JsonColumnOrdering.xlsx,JsonColumnOrderingExample
66,066_JsonColumnFiltering.xlsx,JsonColumnFilteringExample
67,067_JsonDateNumberFormatting.xlsx,JsonDateNumberFormattingExample
68,068_JsonConditionalStyling.xlsx,JsonConditionalStylingExample
69,069_JsonAdvancedWorkbook.xlsx,JsonAdvancedWorkbookExample
70,070_CsvWithHeader.xlsx,CsvWithHeaderExample
71,071_CsvWithoutHeader.xlsx,CsvWithoutHeaderExample
72,072_CsvAdvancedFeatures.xlsx,CsvAdvancedFeaturesExample
73,073_CsvToWorkbookWithChart.xlsx,CsvToWorkbookWithChartExample
74,074_GenericTableBasic.xlsx,GenericTableBasicExample
75,075_GenericTableAdvanced.xlsx,GenericTableAdvancedExample
76,076_GenericTableToWorkbook.xlsx,GenericTableToWorkbookExample
77,077_GenericTableWorkbookAdvanced.xlsx,GenericTableWorkbookAdvancedExample
78,078_BuiltInColors.xlsx,BuiltInColorsExample
79,079_ClassToWorkbook.xlsx,ClassToWorkbookExample
80,080_ChartSeriesNamesImport_Auto.xlsx,ChartSeriesNamesImportAutoExample
81,081_ChartSeriesNamesImport_Custom.xlsx,ChartSeriesNamesImportCustomExample
82,082_ChartSeriesNamesImport_CSV.xlsx,ChartSeriesNamesImportCsvExample
83,083_ChartSeriesNamesImport_GenericTable.xlsx,ChartSeriesNamesImportGenericTableExample
84,084_ChartSeriesNames.xlsx,ChartSeriesNamesExample
85,085_MultiTableMultiChartCommonSheet.xlsx,MultiTableMultiChartCommonSheetExample
86,086_ColumnHiding.xlsx,ColumnHidingExample
87,087_RowHiding.xlsx,RowHidingExample
88,088_ConditionalHiding.xlsx,ConditionalHidingExample
89,089_LineChartMultipleSeries.xlsx,LineChartMultipleSeriesExample
90,090_LineChartWithoutCategories.xlsx,LineChartWithoutCategoriesExample
91,091_LineChartMultipleSeriesWithoutCategories.xlsx,LineChartMultipleSeriesWithoutCategoriesExample
92,092_BarChartWithoutCategories.xlsx,BarChartWithoutCategoriesExample
93,093_AreaChartWithoutCategories.xlsx,AreaChartWithoutCategoriesExample
94,094_LineChartWithDataLabels.xlsx,LineChartWithDataLabelsExample
95,095_LineChartMultipleSeriesWithDataLabels.xlsx,LineChartMultipleSeriesWithDataLabelsExample
96,096_ScatterChartWithDataLabels.xlsx,ScatterChartWithDataLabelsExample
97,097_LineChartWithExplicitYAxisLabels.xlsx,LineChartWithYAxisLabelsExample
98,098_LineChartMultipleSeriesWithExplicitYAxisLabels.xlsx,LineChartMultipleSeriesWithYAxisLabelsExample
99,099_ScatterChartWithExplicitYAxisLabels.xlsx,ScatterChartWithYAxisLabelsExample
100,100_LineChartWithoutYAxisLabels.xlsx,LineChartWithoutYAxisLabelsExample
101,101_BarChartWithoutYAxisLabels.xlsx,BarChartWithoutYAxisLabelsExample
102,102_AreaChartWithoutYAxisLabels.xlsx,AreaChartWithoutYAxisLabelsExample
103,103_LineChartWithCustomColor.xlsx,LineChartWithCustomColorExample
104,104_LineChartMultipleSeriesWithColors.xlsx,LineChartMultipleSeriesWithColorsExample
105,105_BarChartWithCustomColors.xlsx,BarChartWithCustomColorsExample
106,106_AreaChartWithCustomColors.xlsx,AreaChartWithCustomColorsExample
107,107_ChartColorPalette.xlsx,ChartColorPaletteExample
108,108_EnvironmentSheetInfo.xlsx,EnvironmentSheetInfoExample
109,109_SimpleCalibrationWorkbook_Default.xlsx,SimpleCalibrationWorkbookDefaultExample
110,110_SimpleCalibrationWorkbook_0.9.xlsx,SimpleCalibrationWorkbook09Example
111,111_SimpleCalibrationWorkbook_1.1.xlsx,SimpleCalibrationWorkbook11Example
112,112_AutoFitColumnsBaseline.xlsx,AutoFitColumnsBaselineExample
113,113_ExcelToGenericTableNoHeaders.xlsx,ExcelToGenericTableNoHeadersExample
114,114_ExcelToGenericTableWithHeaders.xlsx,ExcelToGenericTableWithHeadersExample
115,115_ExcelToGenericTableAutoDetect.xlsx,ExcelToGenericTableAutoDetectExample
116,116_GenericTableJsonRoundTrip.xlsx,GenericTableJsonRoundTripExample
